"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,1,0,0,0,0,0,0,0,0
"2",1,1,1,0,0,0,0,0,0,0
"3",1,1,1,1,0,0,0,0,0,0
"4",1,1,1,1,1,0,0,0,0,0
"5",1,1,1,1,1,1,0,0,0,0
"6",1,1,1,1,1,1,1,0,0,0
"7",1,1,1,1,1,1,1,1,0,0
"8",1,1,1,1,1,1,1,1,1,0
"9",1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,1
